Canadian Aggregate Bond Index ETF (VAB)
As of close 30-06-2015
Securities,Rate,Maturity date,% of assets*
Canadian Government Bond,"=""1.00""","=""01-08-2016""","=""3.01104%"""
Province of Ontario Canada,"=""3.45""","=""02-06-2045""","=""1.32711%"""
