Securities,Rate,Maturity date,% of assets*
Manulife Financial Corp.,"=""5.50""","=""26-06-2018""","=""0.00453%"""
Bank of America Corp.,"=""5.15""","=""30-05-2017""","=""0.00373%"""



"For any Vanguard ETF (VUS, VUN, VEE, VEF, VDU, VSP, VFV, VGH, VGG, VXC, VE, VA, VBG and VBU) that primarily invests in an underlying US domiciled Vanguard fund, the information displayed belongs to the corresponding US domiciled Vanguard fund."
