iShares Core High Quality Canadian Bond Index ETF
Inception Date,"Nov 19, 2009"
Fund Holdings as of,"06-Aug-2015"
Total Net Assets ($000s),"$261,810,245"
Shares Outstanding,"12,200,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,CUSIP,SEDOL,Weight (%),Market Value,Country of Risk,Sector,Coupon (%),Maturity,Duration,Price,Asset Class,Currency,Market Currency,FX Rate,Mod. Duration,YTM (%),Yield to Call (%),Yield to Worst (%),Notional Value
"QUEBEC (PROVINCE OF) MTN","74814ZDU4","B2Q5ND6","0.33","$855,139","Canada","Provincial","4.50","Dec 1, 2018","3.11","111.55","FI","CAD","CAD","1.00","3.10","0.96","-","0.96","855,139.26"
"BANK OF NOVA SCOTIA","0641492L0","BKRCN09","0.33","$852,005","Canada","Financial","3.27","Jan 11, 2021","5.00","106.94","FI","CAD","CAD","1.00","4.98","1.92","-","1.92","852,005.01"
"CANADA HOUSING TRUST NO.1 144A","13509PCL5","B536BS4","0.32","$843,187","Canada","Federal","3.35","Dec 15, 2020","4.93","111.20","FI","CAD","CAD","1.00","4.93","1.19","-","1.19","843,186.86"
"ONTARIO (PROVINCE OF)","683234SL3","B1444L3","0.32","$841,455","Canada","Provincial","5.85","Mar 8, 2033","11.80","141.65","FI","CAD","CAD","1.00","11.94","2.83","-","2.83","841,455.38"
"QUEBEC (PROVINCE OF)","74814ZDR1","B1PXLR4","0.32","$839,812","Canada","Provincial","4.50","Dec 1, 2017","2.21","108.54","FI","CAD","CAD","1.00","2.21","0.78","-","0.78","839,811.59"
"CAISSE CENTRALE DESJARDINS DU QUEB MTN","12801ZCJ5","-","0.32","$835,588","Canada","Financial","2.79","Nov 19, 2018","3.14","104.11","FI","CAD","CAD","1.00","3.12","1.51","-","1.51","835,588.24"
"CANADIAN IMPERIAL BANK OF COMMERCE","13595ZWG7","BNJZRN8","0.32","$832,519","Canada","Financial","2.35","Jun 24, 2019","3.72","103.40","FI","CAD","CAD","1.00","3.70","1.45","-","1.45","832,519.19"
"TD CAPITAL TRUST III RegS","87239BAA3","B3DCKQ9","0.32","$827,760","Canada","Financial","7.24","Dec 31, 2049","3.08","117.52","FI","CAD","CAD","1.00","16.10","4.45","-","1.90","827,759.67"
"BANK OF NOVA SCOTIA","064149Q75","B8GHPP0","0.32","$823,451","Canada","Financial","2.37","Jan 11, 2018","2.37","102.38","FI","CAD","CAD","1.00","2.36","1.37","-","1.37","823,451.16"
"BROOKFIELD ASSET MANAGEMENT INC MTN","11257ZAC3","BYR5BY6","0.31","$807,178","Canada","Industrial","4.54","Mar 31, 2023","6.46","108.98","FI","CAD","CAD","1.00","6.41","3.21","-","3.21","807,178.13"
"TORONTO-DOMINION BANK/THE","891145YM0","B76V2B0","0.31","$799,470","Canada","Financial","2.17","Apr 2, 2018","2.57","102.01","FI","CAD","CAD","1.00","2.56","1.40","-","1.40","799,470.08"
"CANADA (GOVERNMENT OF)","135087VW1","2191087","0.30","$776,873","Canada","Federal","8.00","Jun 1, 2027","8.62","168.17","FI","CAD","CAD","1.00","8.70","1.63","-","1.63","776,873.00"
"WELLS FARGO CANADA CORP MTN","94975ZBS4","2B82X71","0.30","$775,419","Canada","Financial","2.78","Nov 15, 2018","3.13","104.30","FI","CAD","CAD","1.00","3.12","1.43","-","1.43","775,419.30"
"CANADA HOUSING TRUST NO 1 144A","13509PEZ2","-","0.29","$764,453","Canada","Federal","1.45","Jun 15, 2020","4.68","101.74","FI","CAD","CAD","1.00","4.68","1.08","-","1.08","764,452.73"
"QUEBEC (PROVINCE OF)","74814ZEV1","-","0.29","$762,880","Canada","Provincial","2.75","Sep 1, 2025","8.71","104.47","FI","CAD","CAD","1.00","8.70","2.25","-","2.25","762,879.82"
"QUEBEC PROVINCE OF","748148RL9","B3KMGX1","0.29","$762,198","Canada","Provincial","5.75","Dec 1, 2036","13.55","143.04","FI","CAD","CAD","1.00","13.75","3.00","-","3.00","762,198.29"
"MASTER CREDIT A 144A","57634ZAA4","2B82Y67","0.29","$755,074","Canada","Securitized","2.72","Nov 21, 2018","3.15","104.14","FI","CAD","CAD","1.00","3.13","1.43","-","1.43","755,074.03"
"ONTARIO (PROVINCE OF)","68323ACU6","-","0.29","$753,907","Canada","Provincial","2.10","Sep 8, 2019","3.90","103.99","FI","CAD","CAD","1.00","3.89","1.10","-","1.10","753,906.77"
"CANADIAN IMPERIAL BANK OF COMMERCE","13595ZZ66","-","0.29","$753,832","Canada","Financial","1.85","Jul 14, 2020","4.72","100.39","FI","CAD","CAD","1.00","4.70","1.77","-","1.77","753,832.32"
"NATIONAL BANK OF CANADA","633067B28","BWB9634","0.29","$745,341","Canada","Financial","1.74","Mar 3, 2020","4.37","100.11","FI","CAD","CAD","1.00","4.35","1.71","-","1.71","745,340.78"
"ROYAL BANK OF CANADA","780085Y42","B5W0S97","0.28","$739,617","Canada","Financial","3.77","Mar 30, 2018","2.52","106.80","FI","CAD","CAD","1.00","2.51","1.15","-","1.15","739,617.39"
"BRITISH COLUMBIA (PROVINCE OF)","1107098Y1","B7NFZP0","0.28","$736,028","Canada","Provincial","4.30","Jun 18, 2042","16.81","125.45","FI","CAD","CAD","1.00","17.07","2.93","-","2.93","736,028.31"
"GE CAPITAL CANADA FUNDING CO MTN","36158ZCA2","BBC3940","0.28","$732,456","Canada","Financial","2.42","May 31, 2018","2.72","103.01","FI","CAD","CAD","1.00","2.71","1.33","-","1.33","732,455.84"
"BANK OF MONTREAL","06367VJN6","BG0QNH7","0.28","$722,566","Canada","Financial","3.40","Apr 23, 2021","5.19","107.68","FI","CAD","CAD","1.00","5.16","1.97","-","1.97","722,566.19"
"WELLS FARGO FINANCIAL CANADA CORPO MTN","94975ZBL9","B6ZG372","0.27","$705,067","Canada","Financial","2.77","Feb 9, 2017","1.47","102.33","FI","CAD","CAD","1.00","1.46","1.22","-","1.22","705,067.01"
"MSTCCT_12-1 A","57633ZAQ0","B8N42R5","0.27","$700,442","Canada","Securitized","2.63","Jan 21, 2017","1.44","102.14","FI","CAD","CAD","1.00","1.43","1.15","-","1.15","700,442.46"
"BRITISH COLUMBIA (PROVINCE OF)","110709GC0","B93LG59","0.26","$691,649","Canada","Provincial","3.20","Jun 18, 2044","18.72","105.33","FI","CAD","CAD","1.00","18.98","2.93","-","2.93","691,648.78"
"HYDRO ONE INC MTN","44810ZBK5","BFLQHJ9","0.26","$690,454","Canada","Infrastructure","4.59","Oct 9, 2043","16.07","114.94","FI","CAD","CAD","1.00","16.41","3.73","-","3.72","690,453.64"
"TD CAP TRUST IV","87239GAC8","B4MTQ37","0.26","$680,328","Canada","Financial","6.63","Jun 30, 2108","5.02","121.69","FI","CAD","CAD","1.00","63.84","0.20","-","2.64","680,327.85"
"CANADIAN IMPERIAL BANK OF COMMERCE","13591Z6U9","B3XY9Q8","0.26","$673,936","Canada","Financial","3.95","Jul 14, 2017","1.88","105.22","FI","CAD","CAD","1.00","1.87","1.22","-","1.22","673,936.40"
"FINANCEMENT QUEBEC","31739ZAQ8","B68WMQ9","0.25","$661,234","Canada","Provincial","3.50","Dec 1, 2017","2.23","106.19","FI","CAD","CAD","1.00","2.23","0.80","-","0.80","661,233.92"
"GE CAPITAL CAN FUNDING MTN","36158ZBK1","B28VM80","0.25","$660,068","United States","Financial","5.73","Oct 22, 2037","13.51","132.22","FI","CAD","CAD","1.00","13.69","3.61","-","3.61","660,067.78"
"NATIONAL BANK OF CANADA","633067VX8","B83WHF2","0.25","$653,766","Canada","Financial","2.69","Aug 21, 2017","1.97","102.71","FI","CAD","CAD","1.00","1.96","1.34","-","1.34","653,766.36"
"HSBC BANK CANADA","40427HST1","BMMV264","0.25","$652,567","Canada","Financial","2.49","May 13, 2019","3.59","103.17","FI","CAD","CAD","1.00","3.58","1.62","-","1.62","652,567.49"
"BANK OF MONTREAL","063679T53","B6Y3675","0.25","$646,344","Canada","Financial","2.39","Jul 12, 2017","1.89","102.27","FI","CAD","CAD","1.00","1.89","1.20","-","1.20","646,344.45"
"CANADA HOUSING TRUST NO.1 144A","13509PCA9","B3XL7F4","0.25","$642,257","Canada","Federal","3.75","Mar 15, 2020","4.23","112.19","FI","CAD","CAD","1.00","4.22","1.03","-","1.03","642,257.22"
"ONTARIO (PROVINCE OF)","683234NM6","2585839","0.24","$638,130","Canada","Provincial","6.20","Jun 2, 2031","10.96","144.26","FI","CAD","CAD","1.00","11.07","2.73","-","2.73","638,130.20"
"HSBC BANK CANADA","40427HSU8","-","0.24","$634,203","Canada","Financial","2.91","Sep 29, 2021","5.60","104.14","FI","CAD","CAD","1.00","5.57","2.18","-","2.18","634,203.31"
"CU INC","12657ZBE2","-","0.24","$629,213","Canada","Energy","4.09","Sep 2, 2044","16.62","104.35","FI","CAD","CAD","1.00","16.92","3.83","-","3.83","629,212.61"
"ROYAL BANK OF CANADA","780085N93","-","0.24","$624,184","Canada","Financial","4.93","Jul 16, 2025","8.06","119.52","FI","CAD","CAD","1.00","8.05","2.68","-","2.68","624,183.79"
"BANK OF NOVA SCOTIA","0641494K0","BW4P2M0","0.24","$623,241","Canada","Financial","2.87","Jun 4, 2021","5.37","104.60","FI","CAD","CAD","1.00","5.34","2.03","-","2.03","623,240.99"
"CAPITAL DESJARDINS INC","14006ZAD9","B7NZS73","0.24","$620,923","Canada","Financial","5.19","May 5, 2020","4.24","114.31","FI","CAD","CAD","1.00","4.22","2.01","-","2.01","620,923.24"
"BANK OF NOVA SCOTIA","064149B89","B654LX8","0.23","$609,668","Canada","Financial","4.10","Jun 8, 2017","1.78","105.18","FI","CAD","CAD","1.00","1.77","1.24","-","1.24","609,668.22"
"TRANSCANADA PIPELINES LIMITED MTN","89353ZBU1","B5S9564","0.23","$607,065","Canada","Energy","8.05","Feb 17, 2039","12.45","153.52","FI","CAD","CAD","1.00","12.62","4.38","-","4.38","607,064.99"
"CCCTII_15-1 A","13561ZAA4","-","0.23","$605,406","Canada","Securitized","1.83","Mar 24, 2020","4.43","100.40","FI","CAD","CAD","1.00","4.40","1.74","-","1.74","605,405.84"
"BRITISH COLUMBIA (PROVINCE OF)","110709EK4","2255886","0.23","$604,702","Canada","Provincial","5.70","Jun 18, 2029","10.18","136.98","FI","CAD","CAD","1.00","10.25","2.52","-","2.52","604,701.89"
"GREAT-WEST LIFECO INC","391382AA6","B1Z6Y85","0.23","$593,648","Canada","Financial","5.69","Jun 21, 2067","1.79","107.61","FI","CAD","CAD","1.00","28.84","2.19","-","1.55","593,648.43"
"ROYAL BANK OF CANADA","7800858C3","B7MLBS4","0.22","$581,537","Canada","Financial","2.98","May 7, 2019","3.55","105.38","FI","CAD","CAD","1.00","3.53","1.50","-","1.50","581,536.58"
"HSBC BANK CANADA","40427HRV7","B4QM0Y1","0.22","$579,741","United Kingdom","Financial","3.56","Oct 4, 2017","2.07","104.58","FI","CAD","CAD","1.00","2.06","1.40","-","1.40","579,740.67"
"407 INTERNATIONAL INC MTN","35085ZBF2","B96V2W5","0.22","$576,577","Canada","Infrastructure","4.19","Apr 25, 2042","15.98","107.61","FI","CAD","CAD","1.00","16.24","3.74","-","3.73","576,577.33"
"MANITOBA PROVINCE OF","563469UB9","BFNXTR0","0.22","$572,192","Canada","Provincial","4.05","Sep 5, 2045","17.93","119.01","FI","CAD","CAD","1.00","18.21","3.07","-","3.07","572,191.79"
"QUEBEC (PROVINCE OF)","74814ZDH3","B10GLF6","0.22","$571,751","Canada","Provincial","4.50","Dec 1, 2016","1.29","105.07","FI","CAD","CAD","1.00","1.28","0.64","-","0.64","571,750.58"
"NATIONAL BANK OF CANADA","633067ZK2","-","0.22","$569,045","Canada","Financial","2.40","Oct 28, 2019","4.01","103.18","FI","CAD","CAD","1.00","3.99","1.62","-","1.62","569,044.87"
"QUEBEC (PROVINCE OF)","748148QJ5","2245401","0.22","$568,070","Canada","Provincial","6.00","Oct 1, 2029","10.12","139.22","FI","CAD","CAD","1.00","10.19","2.66","-","2.66","568,069.61"
"ONTARIO (PROVINCE OF)","683234KG2","2225942","0.22","$567,391","Canada","Provincial","7.60","Jun 2, 2027","8.58","153.25","FI","CAD","CAD","1.00","8.63","2.40","-","2.40","567,390.96"
"GE CAPITAL CANADA FUNDING COMPANY MTN","36158ZBN5","B7D4NL9","0.22","$564,333","United States","Financial","5.68","Sep 10, 2019","3.66","116.74","FI","CAD","CAD","1.00","3.65","1.45","-","1.45","564,333.03"
"BANK OF NOVA SCOTIA","0641497L5","-","0.22","$562,865","Canada","Financial","2.27","Jan 13, 2020","4.23","102.56","FI","CAD","CAD","1.00","4.21","1.67","-","1.67","562,864.90"
"NATIONAL BANK OF CANADA","633067XV0","BJZ30F1","0.21","$558,620","Canada","Financial","2.02","Apr 13, 2017","1.65","101.30","FI","CAD","CAD","1.00","1.65","1.23","-","1.23","558,619.59"
"HYDRO-QUEBEC","448814DG5","2451532","0.21","$553,684","Canada","Provincial","11.00","Aug 15, 2020","4.04","146.93","FI","CAD","CAD","1.00","4.02","1.32","-","1.32","553,683.89"
"GLCRTR_14-1 1","37638ZAU8","-","0.21","$544,389","Canada","Securitized","2.57","Sep 20, 2019","3.89","103.91","FI","CAD","CAD","1.00","3.88","1.58","-","1.58","544,389.04"
"SUN LIFE FINANCIAL INC MTN","86682ZAE6","-","0.20","$531,708","Canada","Financial","4.38","Mar 2, 2022","1.51","104.46","FI","CAD","CAD","1.00","1.50","1.49","-","1.49","531,708.06"
"BANK OF NOVA SCOTIA","064149W37","BD02L36","0.20","$518,489","Canada","Financial","2.75","Aug 13, 2018","2.88","103.86","FI","CAD","CAD","1.00","2.86","1.44","-","1.44","518,489.22"
"ALBERTA PROVINCE OF","013051DH7","B90MZZ8","0.20","$516,340","Canada","Provincial","1.70","Dec 15, 2017","2.31","102.21","FI","CAD","CAD","1.00","2.31","0.75","-","0.75","516,340.04"
"ONTARIO (PROVINCE OF)","683234ZQ4","B2QP046","0.20","$514,358","Canada","Provincial","4.20","Mar 8, 2018","2.44","108.64","FI","CAD","CAD","1.00","2.44","0.82","-","0.82","514,358.03"
"HYDRO ONE INC MTN","44810ZAY6","B84KRB1","0.20","$513,008","Canada","Infrastructure","5.49","Jul 16, 2040","14.67","128.26","FI","CAD","CAD","1.00","14.88","3.74","-","3.74","513,007.55"
"GENESIS TRUST II","37185ZAD3","-","0.20","$512,959","Canada","Securitized","2.43","May 15, 2019","3.60","103.50","FI","CAD","CAD","1.00","3.59","1.48","-","1.48","512,959.13"
"BANK OF MONTREAL","063679EC4","-","0.20","$511,076","Canada","Financial","4.61","Sep 10, 2025","8.13","117.25","FI","CAD","CAD","1.00","8.12","2.65","-","2.65","511,075.95"
"TRANSCANADA PIPELINES LIMITED MTN","89353ZBY3","-","0.19","$508,634","Canada","Energy","3.30","Jul 17, 2025","8.45","101.54","FI","CAD","CAD","1.00","8.43","3.12","-","3.11","508,633.61"
"SUNCOR ENERGY MTN","86721ZAL3","BSS8465","0.19","$507,881","Canada","Energy","3.10","Nov 26, 2021","5.72","104.32","FI","CAD","CAD","1.00","5.69","2.36","-","2.34","507,880.84"
"GENESIS TRUST II","37185ZAA9","-","0.19","$506,922","Canada","Securitized","2.29","Feb 15, 2017","1.49","101.74","FI","CAD","CAD","1.00","1.48","1.14","-","1.14","506,921.92"
"NORTH WEST REDWATER PARTNERSHIP Prvt","663307AE6","-","0.19","$506,790","Canada","Energy","3.20","Apr 24, 2026","9.04","101.24","FI","CAD","CAD","1.00","9.02","3.06","-","3.06","506,789.54"
"HYDRO ONE INC MTN","44810ZBP4","-","0.19","$505,994","Canada","Infrastructure","1.62","Apr 30, 2020","4.54","100.76","FI","CAD","CAD","1.00","4.52","1.45","-","1.45","505,993.68"
"GREATER TORONTO AIRPORTS AUTHORITY MTN","39191ZAX7","B8BGF18","0.19","$504,830","Canada","Infrastructure","5.30","Feb 25, 2041","14.80","126.76","FI","CAD","CAD","1.00","15.01","3.68","-","3.68","504,830.14"
"MANUFACTURERS LIFE INSURANCE COMPA","564835AJ5","-","0.19","$504,115","Canada","Financial","2.10","Jun 1, 2025","4.58","100.44","FI","CAD","CAD","1.00","8.87","1.74","-","2.00","504,114.91"
"HYDRO ONE INC. MTN","44810ZAD2","2934527","0.19","$499,310","Canada","Infrastructure","6.35","Jan 31, 2034","11.92","137.07","FI","CAD","CAD","1.00","12.04","3.59","-","3.59","499,309.74"
"HSBC BANK CANADA","40427HSW4","BVGH0Q7","0.19","$492,261","Canada","Financial","1.82","Jul 7, 2020","4.70","99.70","FI","CAD","CAD","1.00","4.68","1.88","-","1.88","492,261.20"
"OMERS REALTY CORP Prvt","68214WAG3","-","0.19","$491,598","Canada","Provincial","2.50","Jun 5, 2018","2.74","103.29","FI","CAD","CAD","1.00","2.72","1.31","-","1.31","491,597.94"
"HYDRO-QUEBEC","448814JA2","B3L3YZ1","0.19","$490,148","Canada","Provincial","5.00","Feb 15, 2050","18.57","141.38","FI","CAD","CAD","1.00","18.91","3.05","-","3.05","490,148.32"
"MANULIFE FINANCE DELAWARE LP","56502FAA9","B1L6ZY2","0.19","$487,377","Canada","Financial","5.06","Dec 15, 2041","13.21","110.30","FI","CAD","CAD","1.00","14.84","4.03","-","4.32","487,377.21"
"CANADA (GOVERNMENT OF)","135087C93","BM7RZV3","0.18","$481,418","Canada","Federal","2.75","Dec 1, 2064","28.34","119.86","FI","CAD","CAD","1.00","28.83","2.10","-","2.10","481,417.52"
"BRITISH COLUMBIA PROV OF MTN","110709FX5","B52K905","0.18","$476,505","Canada","Provincial","4.65","Dec 18, 2018","3.15","112.29","FI","CAD","CAD","1.00","3.14","0.93","-","0.93","476,504.79"
"ALBERTA (PROVINCE OF)","013051DK0","BB2C0Z5","0.18","$473,755","Canada","Provincial","3.45","Dec 1, 2043","18.10","108.54","FI","CAD","CAD","1.00","18.36","3.00","-","3.00","473,754.51"
"BCIMC REALTY CORP","07329VAH3","-","0.18","$468,563","Canada","Real Estate","2.96","Mar 7, 2019","3.38","105.50","FI","CAD","CAD","1.00","3.37","1.38","-","1.38","468,562.88"
"ALBERTA (PROVINCE OF) MTN","013051DG9","B8P4BP4","0.18","$464,738","Canada","Provincial","2.55","Dec 15, 2022","6.71","105.26","FI","CAD","CAD","1.00","6.69","1.78","-","1.78","464,738.15"
"CANADA HOUSING TRUST NO 1 144A","13509PDY6","BD3ZL76","0.18","$461,024","Canada","Federal","3.15","Sep 15, 2023","7.14","111.20","FI","CAD","CAD","1.00","7.14","1.67","-","1.67","461,024.18"
"GENERAL ELECTRIC CAPITAL CANADA IN MTN","36158ZBV7","B7148S3","0.18","$459,584","United States","Financial","4.60","Jan 26, 2022","5.69","115.05","FI","CAD","CAD","1.00","5.67","2.10","-","2.10","459,584.38"
"NATIONAL BANK OF CANADA","633067C27","-","0.17","$456,992","Canada","Financial","2.11","Mar 18, 2022","6.12","99.40","FI","CAD","CAD","1.00","6.09","2.20","-","2.20","456,992.39"
"TRANSCANADA PIPELINES LTD MTN","89353ZBW7","B6VGX32","0.17","$454,322","Canada","Energy","3.65","Nov 15, 2021","5.62","107.60","FI","CAD","CAD","1.00","5.58","2.34","-","2.34","454,322.50"
"HYDRO ONE INC MTN","44810ZBJ8","BFFMPM2","0.17","$454,103","Canada","Infrastructure","2.78","Oct 9, 2018","3.03","104.95","FI","CAD","CAD","1.00","3.02","1.19","-","1.19","454,102.58"
"QUEBEC (PROVINCE OF)","748148PZ0","2225759","0.17","$451,914","Canada","Provincial","8.50","Apr 1, 2026","7.71","157.30","FI","CAD","CAD","1.00","7.74","2.38","-","2.38","451,914.15"
"ALTALINK LP MTN","02135ZAF3","-","0.17","$443,706","Canada","Infrastructure","3.99","Jun 30, 2042","16.31","103.02","FI","CAD","CAD","1.00","16.51","3.81","-","3.81","443,706.32"
"GENESIS TRUST II","37185ZAG6","-","0.17","$441,845","Canada","Securitized","1.70","Apr 15, 2020","4.49","100.16","FI","CAD","CAD","1.00","4.47","1.66","-","1.66","441,844.93"
"STANDARD LIFE ASSURANCE CO OF CANA Prvt","853585AA5","B83FBP9","0.17","$436,105","Canada","Financial","3.94","Sep 21, 2022","2.03","104.89","FI","CAD","CAD","1.00","6.13","3.16","-","1.59","436,105.08"
"ALTALINK LP MTN","02135ZAM8","BN801Y3","0.16","$430,175","Canada","Infrastructure","3.40","Jun 6, 2024","7.59","106.98","FI","CAD","CAD","1.00","7.61","2.51","-","2.49","430,174.63"
"CAD CASH","-","-","0.16","$426,397","Canada","Cash and/or Derivatives","0.74","Aug 7, 2015","0.00","100.00","CA","CAD","CAD","1.00","0.00","0.74","-","0.74","426,397.31"
"BCIMC REALTY CORP","07329VAL4","-","0.16","$416,789","Canada","Real Estate","2.79","Aug 2, 2018","2.88","104.17","FI","CAD","CAD","1.00","2.87","1.36","-","1.36","416,788.88"
"HYDRO ONE INC MTN","44810ZBF6","B84QLL7","0.16","$415,686","Canada","Infrastructure","3.20","Jan 13, 2022","5.85","108.04","FI","CAD","CAD","1.00","5.83","1.87","-","1.87","415,686.27"
"CU INC","12657ZBB8","BDRZS26","0.16","$405,838","Canada","Energy","4.72","Sep 9, 2043","15.78","115.02","FI","CAD","CAD","1.00","16.11","3.84","-","3.83","405,838.06"
"MANUFACTURERS LIFE INSURANCE COMPA","564835AC0","B5WL7Z9","0.15","$401,101","Canada","Financial","4.21","Nov 18, 2021","1.25","103.54","FI","CAD","CAD","1.00","5.54","2.95","-","1.42","401,101.34"
"BRITISH COLUMBIA (PROVINCE OF)","110709EX6","2061544","0.15","$400,428","Canada","Provincial","6.35","Jun 18, 2031","10.98","147.45","FI","CAD","CAD","1.00","11.09","2.66","-","2.66","400,427.69"
"CAISSE CENTRALE DESJARDINS DU QUEB","12801ZCD8","B4P6L18","0.15","$395,442","Canada","Financial","3.50","Oct 5, 2017","2.08","104.55","FI","CAD","CAD","1.00","2.07","1.36","-","1.36","395,441.84"
"NATIONAL BANK OF CANADA","633067XJ7","BCZXRQ2","0.15","$393,703","Canada","Financial","2.79","Aug 9, 2018","2.86","103.91","FI","CAD","CAD","1.00","2.85","1.47","-","1.47","393,703.45"
"CAISSE CENTRALE DESJARDINS MTN","12801ZCK2","BT9Q2X8","0.15","$386,874","Canada","Financial","2.44","Jul 17, 2019","3.77","103.31","FI","CAD","CAD","1.00","3.75","1.57","-","1.57","386,873.79"
"CANADA (GOVERNMENT OF)","135087UT9","2174293","0.15","$384,755","Canada","Federal","8.00","Jun 1, 2023","6.23","150.63","FI","CAD","CAD","1.00","6.25","1.20","-","1.20","384,754.90"
"HYDRO-QUEBEC MTN","44889ZCM6","2934505","0.15","$382,530","Canada","Provincial","6.50","Feb 15, 2035","12.32","151.81","FI","CAD","CAD","1.00","12.50","2.98","-","2.98","382,529.77"
"BANK OF MONTREAL","063671RH6","B23D504","0.15","$379,353","Canada","Financial","5.45","Jul 17, 2017","1.87","108.09","FI","CAD","CAD","1.00","1.86","1.23","-","1.23","379,352.66"
"MANITOBA (PROVINCE OF)","563469TM7","B4NXQQ1","0.14","$378,699","Canada","Provincial","4.10","Mar 5, 2041","16.18","118.11","FI","CAD","CAD","1.00","16.41","3.07","-","3.07","378,699.20"
"SUNCOR ENERGY INC MTN","86721ZAC3","B39QM69","0.14","$371,702","Canada","Energy","5.80","May 22, 2018","2.60","111.77","FI","CAD","CAD","1.00","2.58","1.48","-","1.48","371,702.42"
"BRITISH COLUMBIA (PROVINCE OF)","110709FL1","B1CH0H2","0.14","$370,441","Canada","Provincial","4.70","Jun 18, 2037","14.45","129.35","FI","CAD","CAD","1.00","14.66","2.88","-","2.88","370,440.58"
"ROYAL OFFICE FINANCE LP","780632AA3","B29KPQ5","0.14","$365,384","Canada","Federal","5.21","Nov 12, 2032","9.80","126.65","FI","CAD","CAD","1.00","9.94","2.75","-","2.75","365,383.68"
"BRITISH COLUMBIA CANADA (PROVINCE","110709BJ0","B7G7Z97","0.14","$363,800","Canada","Provincial","3.25","Dec 18, 2021","5.78","110.14","FI","CAD","CAD","1.00","5.77","1.57","-","1.57","363,799.89"
"NEW BRUNSWICK (PROVINCE OF)","642869AB7","B3VKYF2","0.14","$357,960","Canada","Provincial","4.50","Jun 2, 2020","4.38","114.67","FI","CAD","CAD","1.00","4.36","1.35","-","1.35","357,960.07"
"CANADA (GOVERNMENT OF)","135087VH4","2239396","0.14","$355,735","Canada","Federal","9.00","Jun 1, 2025","7.34","169.40","FI","CAD","CAD","1.00","7.38","1.41","-","1.41","355,735.11"
"SUN LIFE CAPITAL TRUST II","86680BAA9","B4MXK71","0.13","$352,083","Canada","Financial","5.86","Dec 31, 2108","3.95","116.77","FI","CAD","CAD","1.00","72.95","0.10","-","1.87","352,083.48"
"407 INTERNATIONAL INC MTN","35085ZBB1","-","0.13","$350,693","Canada","Infrastructure","4.99","Jun 16, 2020","4.38","116.20","FI","CAD","CAD","1.00","4.36","1.52","-","1.52","350,692.52"
"MANUFACTURERS LIFE INSURANCE COMPA","564835AG1","-","0.13","$345,902","Canada","Financial","2.81","Feb 21, 2024","3.35","103.86","FI","CAD","CAD","1.00","7.62","1.61","-","1.69","345,902.05"
"BANK OF MONTREAL","06367VQU2","-","0.13","$343,618","Canada","Financial","2.43","Mar 4, 2019","3.41","103.41","FI","CAD","CAD","1.00","3.39","1.45","-","1.45","343,618.27"
"BRITISH COLUMBIA (PROVINCE OF)","110709GF3","BCDBHN5","0.13","$341,383","Canada","Provincial","3.30","Dec 18, 2023","7.35","110.76","FI","CAD","CAD","1.00","7.34","1.90","-","1.90","341,383.43"
"NORTH WEST REDWATER PARTNERSHIP Prvt","663307AD8","-","0.13","$339,886","Canada","Energy","3.70","Feb 23, 2043","16.37","95.45","FI","CAD","CAD","1.00","16.61","3.97","-","3.97","339,886.46"
"TOYOTA CREDIT CANADA INC MTN","892329AP8","BMTRT75","0.13","$338,476","Japan","Financial","2.25","May 23, 2019","3.63","102.73","FI","CAD","CAD","1.00","3.62","1.51","-","1.51","338,476.48"
"NATIONAL BANK OF CANADA","633067US0","B4LJ8G5","0.13","$337,208","Canada","Financial","2.70","Dec 15, 2016","1.34","102.11","FI","CAD","CAD","1.00","1.33","1.13","-","1.13","337,208.21"
"TRANSCANADA PIPELINES LTD MTN","89353ZBV9","-","0.13","$336,050","Canada","Energy","4.55","Nov 15, 2041","15.15","104.31","FI","CAD","CAD","1.00","15.34","4.27","-","4.27","336,049.60"
"MANITOBA (PROVINCE OF) MTN","56344ZPH6","B8H9KB6","0.13","$330,676","Canada","Provincial","4.40","Sep 5, 2025","8.20","118.83","FI","CAD","CAD","1.00","8.21","2.30","-","2.30","330,676.39"
"CANADA (GOVERNMENT OF)","135087E67","-","0.13","$330,033","Canada","Federal","1.50","Jun 1, 2026","9.91","99.04","FI","CAD","CAD","1.00","9.94","1.60","-","1.60","330,032.66"
"SASKATCHEWAN PROVINCE OF","803854JU3","BFMXXJ1","0.12","$325,601","Canada","Provincial","3.90","Jun 2, 2045","18.23","118.14","FI","CAD","CAD","1.00","18.51","2.98","-","2.98","325,600.56"
"NEW BRUNSWICK (PROVINCE OF)","642869AF8","B91SRL5","0.12","$325,390","Canada","Provincial","2.85","Jun 2, 2023","7.01","106.18","FI","CAD","CAD","1.00","6.99","1.99","-","1.99","325,390.06"
"CU INC MTN","12657ZAY9","B8DP5D5","0.12","$322,804","Canada","Energy","3.81","Sep 10, 2042","16.34","99.64","FI","CAD","CAD","1.00","16.54","3.83","-","3.83","322,803.87"
"FINANCEMENT-QUEBEC","31739ZAG0","B6YWYJ0","0.12","$320,851","Canada","Provincial","5.25","Jun 1, 2034","12.69","132.18","FI","CAD","CAD","1.00","12.84","3.00","-","3.00","320,850.57"
