iShares Core High Quality Canadian Bond Index ETF
Inception Date,"Nov 19, 2009"
Fund Holdings as of,"06-Aug-2015"
Total Net Assets ($000s),"$261,810,245"
Shares Outstanding,"12,200,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,CUSIP,SEDOL,Weight (%),Market Value,Country of Risk,Sector,Coupon (%),Maturity,Duration,Price,Asset Class,Currency,Market Currency,FX Rate,Mod. Duration,YTM (%),Yield to Call (%),Yield to Worst (%),Notional Value
"CANADA HOUSING TRUST NO 1","13509PEA7","BF262D7","0.64","$1,685,740","Canada","Federal","2.35","Dec 15, 2018","3.24","105.02","FI","CAD","CAD","1.00","3.23","0.83","-","0.83","1,685,739.61"
"CANADA (GOVERNMENT OF)","135087YF5","B1G6W35","0.64","$1,674,330","Canada","Federal","4.00","Jun 1, 2017","1.76","106.47","FI","CAD","CAD","1.00","1.76","0.43","-","0.43","1,674,330.13"
"CANADA HOUSING TRUST NO 1 144A","13509PEG4","BKS8PH7","0.63","$1,640,818","Canada","Federal","1.95","Jun 15, 2019","3.72","103.90","FI","CAD","CAD","1.00","3.71","0.92","-","0.92","1,640,818.28"
"TORONTO DOMINION BANK (MONTREAL BR MTN","89116ZAC0","B1PC698","0.63","$1,640,506","Canada","Financial","4.78","Dec 14, 2105","1.32","104.33","FI","CAD","CAD","1.00","84.24","0.02","-","1.53","1,640,506.45"
"CANADA HOUSING TRUST NO 1 144A","13509PCZ4","B7037J5","0.62","$1,617,226","Canada","Federal","1.85","Dec 15, 2016","1.34","101.77","FI","CAD","CAD","1.00","1.34","0.54","-","0.54","1,617,225.99"
"CANADA HOUSING TRUST NO 1 144A","13509PDM2","B6X0TQ7","0.61","$1,596,165","Canada","Federal","1.70","Dec 15, 2017","2.31","102.41","FI","CAD","CAD","1.00","2.31","0.67","-","0.67","1,596,165.28"
"CANADA HOUSING TRUST NO.1 144A","13509PDF7","B7GMSX7","0.60","$1,579,559","Canada","Federal","2.05","Jun 15, 2017","1.82","102.68","FI","CAD","CAD","1.00","1.82","0.60","-","0.60","1,579,559.38"
"QUEBEC (PROVINCE OF)","74814ZEH2","B3KD292","0.60","$1,574,736","Canada","Provincial","4.25","Dec 1, 2021","5.60","115.71","FI","CAD","CAD","1.00","5.59","1.62","-","1.62","1,574,736.34"
"ONTARIO (PROVINCE OF)","68323ACX0","-","0.60","$1,572,474","Canada","Provincial","2.60","Jun 2, 2025","8.63","103.47","FI","CAD","CAD","1.00","8.62","2.21","-","2.21","1,572,473.88"
"ONTARIO (PROVINCE OF)","683234B98","B66NPT8","0.60","$1,572,166","Canada","Provincial","4.65","Jun 2, 2041","16.04","129.43","FI","CAD","CAD","1.00","16.29","3.00","-","3.00","1,572,166.11"
"CANADA (GOVERNMENT OF)","135087ZQ0","B55HXF6","0.60","$1,561,874","Canada","Federal","2.75","Sep 1, 2016","1.05","102.45","FI","CAD","CAD","1.00","1.05","0.45","-","0.45","1,561,873.79"
"ONTARIO PROVINCE OF","68323ABR4","B96Z8V8","0.59","$1,555,137","Canada","Provincial","2.10","Sep 8, 2018","2.98","103.64","FI","CAD","CAD","1.00","2.97","0.90","-","0.90","1,555,136.55"
"CANADIAN IMPERIAL BANK OF COMMERCE","13595ZDS2","B78LSP4","0.59","$1,545,991","Canada","Financial","2.65","Nov 8, 2016","1.24","101.93","FI","CAD","CAD","1.00","1.23","1.09","-","1.09","1,545,991.04"
"CANADA HOUSING TRUST NO 1","13509PEF6","BK0HZW7","0.59","$1,535,087","Canada","Federal","2.90","Jun 15, 2024","7.83","109.24","FI","CAD","CAD","1.00","7.83","1.77","-","1.77","1,535,087.37"
"QUEBEC (PROVINCE OF)","74814ZEL3","B7FRPM1","0.58","$1,524,042","Canada","Provincial","3.50","Dec 1, 2022","6.49","111.43","FI","CAD","CAD","1.00","6.48","1.82","-","1.82","1,524,041.90"
"CANADA HOUSING TRUST NO 1 144A","13509PCS0","B4M6CR4","0.57","$1,480,005","Canada","Federal","3.80","Jun 15, 2021","5.30","114.19","FI","CAD","CAD","1.00","5.29","1.28","-","1.28","1,480,004.77"
"ROYAL BANK OF CANADA","780086KD5","-","0.56","$1,469,192","Canada","Financial","1.97","Mar 2, 2022","6.10","98.62","FI","CAD","CAD","1.00","6.08","2.19","-","2.19","1,469,191.52"
"CANADA (GOVERNMENT OF)","135087B86","BH4H328","0.55","$1,448,246","Canada","Federal","1.75","Mar 1, 2019","3.44","104.57","FI","CAD","CAD","1.00","3.45","0.46","-","0.46","1,448,245.61"
"TORONTO-DOMINION BANK/THE","891145T79","-","0.55","$1,431,016","Canada","Financial","3.23","Jul 24, 2024","7.81","105.65","FI","CAD","CAD","1.00","7.79","2.52","-","2.52","1,431,016.17"
"BANK OF NOVA SCOTIA","064151BL6","-","0.55","$1,426,782","Canada","Financial","2.13","Jun 15, 2020","4.61","101.61","FI","CAD","CAD","1.00","4.59","1.78","-","1.78","1,426,782.06"
"CANADA (GOVERNMENT OF)","135087B37","B984NL8","0.54","$1,417,686","Canada","Federal","1.25","Sep 1, 2018","3.01","102.49","FI","CAD","CAD","1.00","3.00","0.43","-","0.43","1,417,685.62"
"CANADA HOUSING TRUST NO 1","13509PBN2","B3FP8W8","0.54","$1,408,936","Canada","Federal","4.10","Dec 15, 2018","3.16","110.79","FI","CAD","CAD","1.00","3.15","0.83","-","0.83","1,408,935.65"
"CANADA (GOVERNMENT OF)","135087E34","BVXLJX2","0.54","$1,406,800","Canada","Federal","0.25","May 1, 2017","1.73","99.71","FI","CAD","CAD","1.00","1.73","0.42","-","0.42","1,406,800.30"
"ONTARIO CANADA (PROVINCE OF) MTN","683234B80","B4JY9V4","0.54","$1,401,895","Canada","Provincial","4.40","Jun 2, 2019","3.55","112.46","FI","CAD","CAD","1.00","3.54","1.07","-","1.07","1,401,894.80"
"ROYAL BANK OF CANADA","780086CW2","B8HHM25","0.52","$1,364,432","Canada","Financial","2.99","Dec 6, 2024","4.07","104.62","FI","CAD","CAD","1.00","8.22","1.86","-","1.87","1,364,432.35"
"CANADA (GOVERNMENT OF)","135087E26","BVDPQH7","0.52","$1,360,144","Canada","Federal","1.25","Feb 1, 2018","2.45","102.02","FI","CAD","CAD","1.00","2.45","0.44","-","0.44","1,360,144.48"
"QUEBEC (PROVINCE OF)","74814ZEK5","B3XBSG2","0.52","$1,352,552","Canada","Provincial","4.25","Dec 1, 2043","17.25","122.30","FI","CAD","CAD","1.00","17.52","3.07","-","3.07","1,352,552.35"
"ONTARIO (PROVINCE OF)","683234VR6","B06CRW0","0.52","$1,352,061","Canada","Provincial","5.60","Jun 2, 2035","13.02","140.28","FI","CAD","CAD","1.00","13.20","2.91","-","2.91","1,352,061.35"
"TORONTO-DOMINION BANK/THE","891145N42","-","0.51","$1,343,098","Canada","Financial","2.45","Apr 2, 2019","3.48","103.43","FI","CAD","CAD","1.00","3.47","1.48","-","1.48","1,343,097.66"
"CANADA (GOVERNMENT OF)","135087E59","BWVY6K6","0.51","$1,329,894","Canada","Federal","0.75","Sep 1, 2020","4.95","99.83","FI","CAD","CAD","1.00","4.95","0.78","-","0.78","1,329,893.56"
"CANADA (GOVERNMENT OF)","135087ZV9","B73X5J8","0.51","$1,323,286","Canada","Federal","1.50","Mar 1, 2017","1.54","101.69","FI","CAD","CAD","1.00","1.55","0.42","-","0.42","1,323,285.90"
"CANADA (GOVERNMENT OF)","135087C85","BLRLRD4","0.51","$1,323,161","Canada","Federal","1.75","Sep 1, 2019","3.92","104.93","FI","CAD","CAD","1.00","3.91","0.53","-","0.53","1,323,161.12"
"QUEBEC (PROVINCE OF)","74814ZEG4","B5P58F5","0.51","$1,322,856","Canada","Provincial","4.50","Dec 1, 2020","4.78","115.94","FI","CAD","CAD","1.00","4.77","1.38","-","1.38","1,322,856.34"
"ONTARIO (PROVINCE OF)","68323AAX2","B70BPS4","0.50","$1,318,109","Canada","Provincial","1.90","Sep 8, 2017","2.04","102.43","FI","CAD","CAD","1.00","2.04","0.72","-","0.72","1,318,108.53"
"CANADA (GOVERNMENT OF)","135087D92","BRJG7P1","0.50","$1,308,922","Canada","Federal","1.50","Mar 1, 2020","4.40","103.90","FI","CAD","CAD","1.00","4.40","0.63","-","0.63","1,308,922.03"
"ROYAL BANK OF CANADA","780086GH1","BH6XDR9","0.49","$1,288,985","Canada","Financial","2.77","Dec 11, 2018","3.20","104.11","FI","CAD","CAD","1.00","3.19","1.51","-","1.51","1,288,984.57"
