iShares Canadian Short Term Bond Index ETF
Inception Date,"Nov 20, 2000"
Fund Holdings as of,"06-Aug-2015"
Total Net Assets ($000s),"$2,136,492,505"
Shares Outstanding,"74,200,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,CUSIP,SEDOL,Weight (%),Market Value,Country of Risk,Sector,Coupon (%),Maturity,Duration,Price,Asset Class,Currency,Market Currency,FX Rate,Mod. Duration,YTM (%),Yield to Call (%),Yield to Worst (%),Notional Value
"SHAW COMMUNICATIONS INC.","82028KAP6","B4VHDD1","0.19","$3,952,280","Canada","Communication","5.65","Oct 1, 2019","3.72","114.28","FI","CAD","CAD","1.00","3.69","2.04","-","2.04","3,952,279.93"
"ROYAL BANK OF CANADA","7800858C3","B7MLBS4","0.18","$3,926,433","Canada","Financial","2.98","May 7, 2019","3.55","105.38","FI","CAD","CAD","1.00","3.53","1.50","-","1.50","3,926,433.11"
"ALBERTA PROVINCE OF","013051DH7","B90MZZ8","0.18","$3,893,040","Canada","Provincial","1.70","Dec 15, 2017","2.31","102.21","FI","CAD","CAD","1.00","2.31","0.75","-","0.75","3,893,039.95"
"CPPIB CAPITAL INC","12593CAA9","-","0.18","$3,837,272","Canada","Federal","1.40","Jun 4, 2020","4.66","100.74","FI","CAD","CAD","1.00","4.65","1.24","-","1.24","3,837,272.29"
"CANADIAN IMPERIAL BANK OF COMMERCE","13595ZZ66","-","0.18","$3,819,417","Canada","Financial","1.85","Jul 14, 2020","4.72","100.39","FI","CAD","CAD","1.00","4.70","1.77","-","1.77","3,819,417.06"
"GENESIS TRUST II","37185ZAA9","-","0.18","$3,804,485","Canada","Securitized","2.29","Feb 15, 2017","1.49","101.74","FI","CAD","CAD","1.00","1.48","1.14","-","1.14","3,804,485.02"
"GREAT-WEST LIFECO INC","391382AA6","B1Z6Y85","0.18","$3,791,550","Canada","Financial","5.69","Jun 21, 2067","1.79","107.61","FI","CAD","CAD","1.00","28.84","2.19","-","1.55","3,791,550.22"
"ROYAL BANK OF CANADA","780085Y42","B5W0S97","0.18","$3,784,592","Canada","Financial","3.77","Mar 30, 2018","2.52","106.80","FI","CAD","CAD","1.00","2.51","1.15","-","1.15","3,784,591.89"
"BANK OF MONTREAL","063671WW7","B2R71B5","0.18","$3,771,739","Canada","Financial","6.02","May 2, 2018","2.54","112.37","FI","CAD","CAD","1.00","2.53","1.40","-","1.40","3,771,739.42"
"CANADIAN IMPERIAL BANK OF COMMERCE","13595ZWG7","BNJZRN8","0.17","$3,732,340","Canada","Financial","2.35","Jun 24, 2019","3.72","103.40","FI","CAD","CAD","1.00","3.70","1.45","-","1.45","3,732,340.08"
"BANK OF NOVA SCOTIA","064149B89","B654LX8","0.17","$3,704,581","Canada","Financial","4.10","Jun 8, 2017","1.78","105.18","FI","CAD","CAD","1.00","1.77","1.24","-","1.24","3,704,581.22"
"LOBLAW COMPANIES LIMITED","539481AH4","-","0.17","$3,692,509","Canada","Industrial","3.75","Mar 12, 2019","3.35","107.09","FI","CAD","CAD","1.00","3.33","1.70","-","1.70","3,692,509.02"
"ONTARIO (PROVINCE OF)","68323AAF1","B3SLDD9","0.17","$3,588,337","Canada","Provincial","3.20","Sep 8, 2016","1.07","102.84","FI","CAD","CAD","1.00","1.06","0.57","-","0.57","3,588,336.52"
"ALBERTA (PROVINCE OF)","013051DF1","B81T1P3","0.17","$3,579,026","Canada","Provincial","1.75","Jun 15, 2017","1.83","102.01","FI","CAD","CAD","1.00","1.83","0.66","-","0.66","3,579,026.43"
"GE CAPITAL CANADA FUNDING COMPANY MTN","36158ZBN5","B7D4NL9","0.17","$3,571,728","United States","Financial","5.68","Sep 10, 2019","3.66","116.74","FI","CAD","CAD","1.00","3.65","1.45","-","1.45","3,571,728.06"
"NATIONAL BANK OF CANADA","633067B28","BWB9634","0.17","$3,530,031","Canada","Financial","1.74","Mar 3, 2020","4.37","100.11","FI","CAD","CAD","1.00","4.35","1.71","-","1.71","3,530,030.74"
"CANADIAN IMPERIAL BANK OF COMMERCE","13591Z6U9","B3XY9Q8","0.16","$3,480,423","Canada","Financial","3.95","Jul 14, 2017","1.88","105.22","FI","CAD","CAD","1.00","1.87","1.22","-","1.22","3,480,422.72"
"TELUS CORP","87971MAG8","B1VGFK8","0.16","$3,471,648","Canada","Communication","4.95","Mar 15, 2017","1.53","105.53","FI","CAD","CAD","1.00","1.53","1.45","-","1.45","3,471,648.44"
"CAPITAL DESJARDINS INC","14006ZAD9","B7NZS73","0.16","$3,468,845","Canada","Financial","5.19","May 5, 2020","4.24","114.31","FI","CAD","CAD","1.00","4.22","2.01","-","2.01","3,468,844.93"
"RBC CAPITAL TRUST","74925YAD4","B2R72K1","0.16","$3,442,302","Canada","Financial","6.82","Dec 31, 2049","2.68","114.05","FI","CAD","CAD","1.00","2.66","1.82","-","1.82","3,442,301.79"
"HYDRO ONE INC MTN","44810ZBJ8","BFFMPM2","0.16","$3,429,586","Canada","Infrastructure","2.78","Oct 9, 2018","3.03","104.95","FI","CAD","CAD","1.00","3.02","1.19","-","1.19","3,429,585.95"
"MANITOBA (PROVINCE OF)","563469TK1","B7132N3","0.16","$3,421,262","Canada","Provincial","4.15","Jun 3, 2020","4.41","113.31","FI","CAD","CAD","1.00","4.40","1.29","-","1.29","3,421,262.23"
"TELUS CORPORATION","87971MAM5","B54WZB2","0.16","$3,417,834","Canada","Communication","5.05","Jul 23, 2020","4.46","113.73","FI","CAD","CAD","1.00","4.43","2.12","-","2.12","3,417,834.05"
"BANK OF MONTREAL","06369ZAY0","B2QQRN7","0.16","$3,416,685","Canada","Financial","6.17","Mar 28, 2023","2.44","111.68","FI","CAD","CAD","1.00","6.29","2.62","-","1.63","3,416,685.13"
"SUNCOR ENERGY INC MTN","86721ZAC3","B39QM69","0.16","$3,389,384","Canada","Energy","5.80","May 22, 2018","2.60","111.77","FI","CAD","CAD","1.00","2.58","1.48","-","1.48","3,389,383.78"
"ALBERTA CAPITAL FINANCE AUTHORITY","01285PCM8","B1YLJZ3","0.15","$3,237,639","Canada","Provincial","4.65","Jun 15, 2017","1.79","107.26","FI","CAD","CAD","1.00","1.79","0.71","-","0.71","3,237,638.69"
"NATIONAL BANK OF CANADA","633067US0","B4LJ8G5","0.15","$3,177,342","Canada","Financial","2.70","Dec 15, 2016","1.34","102.11","FI","CAD","CAD","1.00","1.33","1.13","-","1.13","3,177,341.82"
"CCCTII_15-1 A","13561ZAA4","-","0.15","$3,152,947","Canada","Securitized","1.83","Mar 24, 2020","4.43","100.40","FI","CAD","CAD","1.00","4.40","1.74","-","1.74","3,152,946.62"
"NATIONAL BANK OF CANADA","633067VX8","B83WHF2","0.15","$3,118,123","Canada","Financial","2.69","Aug 21, 2017","1.97","102.71","FI","CAD","CAD","1.00","1.96","1.34","-","1.34","3,118,122.52"
"HSBC BANK CANADA","40427HSM6","B77FWT9","0.14","$3,076,086","Canada","Financial","2.90","Jan 13, 2017","1.41","102.35","FI","CAD","CAD","1.00","1.40","1.25","-","1.25","3,076,086.17"
"ALBERTA PROVINCE OF","013051DJ3","-","0.14","$3,070,169","Canada","Provincial","1.60","Jun 15, 2018","2.79","102.11","FI","CAD","CAD","1.00","2.79","0.85","-","0.85","3,070,168.54"
"BANK OF MONTREAL","063679T53","B6Y3675","0.14","$3,047,345","Canada","Financial","2.39","Jul 12, 2017","1.89","102.27","FI","CAD","CAD","1.00","1.89","1.20","-","1.20","3,047,345.09"
"GREAT-WEST LIFECO FINANCE DELAWARE","391385AA9","BHBRVV6","0.14","$3,026,868","Canada","Financial","7.13","Jun 26, 2068","2.66","115.62","FI","CAD","CAD","1.00","20.66","3.87","-","1.57","3,026,867.67"
"MANUFACTURERS LIFE INSURANCE COMPA","564835AJ5","-","0.14","$3,024,689","Canada","Financial","2.10","Jun 1, 2025","4.58","100.44","FI","CAD","CAD","1.00","8.87","1.74","-","2.00","3,024,689.46"
"INTERNATIONAL BANK FOR RECONSTRUCT","459058EB5","BWCGWV4","0.14","$3,023,022","Supranational","Federal","1.13","Mar 11, 2020","4.46","100.31","FI","CAD","CAD","1.00","4.45","1.05","-","1.05","3,023,022.25"
"SOBEYS INC","833577AF6","-","0.14","$2,984,964","Canada","Industrial","3.52","Aug 8, 2018","2.83","104.88","FI","CAD","CAD","1.00","2.81","1.85","-","1.85","2,984,964.12"
"WELLS FARGO CANADA CORP MTN","94975ZBS4","2B82X71","0.14","$2,937,989","Canada","Financial","2.78","Nov 15, 2018","3.13","104.30","FI","CAD","CAD","1.00","3.12","1.43","-","1.43","2,937,989.25"
"SCOTIABANK TIER 1 TRUST","80928FAA5","B4KKC23","0.14","$2,917,388","Canada","Financial","7.80","Jun 30, 2108","3.46","120.77","FI","CAD","CAD","1.00","69.62","0.11","-","2.21","2,917,388.30"
"GENESIS TRUST II","37185ZAG6","-","0.14","$2,913,761","Canada","Securitized","1.70","Apr 15, 2020","4.49","100.16","FI","CAD","CAD","1.00","4.47","1.66","-","1.66","2,913,760.97"
"BANK OF MONTREAL","06367VQU2","-","0.13","$2,872,189","Canada","Financial","2.43","Mar 4, 2019","3.41","103.41","FI","CAD","CAD","1.00","3.39","1.45","-","1.45","2,872,189.20"
"TORONTO (CITY OF)","891288DB5","B4NS2W4","0.13","$2,852,007","Canada","Municipal","4.50","Dec 2, 2019","3.96","113.28","FI","CAD","CAD","1.00","3.95","1.33","-","1.33","2,852,006.62"
"BELL CANADA","07813ZAY0","B3N7WP7","0.13","$2,827,260","Canada","Communication","4.40","Mar 16, 2018","2.45","107.02","FI","CAD","CAD","1.00","2.44","1.64","-","1.64","2,827,260.30"
"GENERAL MOTORS FINANCIAL OF CANADA","37045YAB0","-","0.13","$2,774,780","United States","Financial","3.08","May 22, 2020","4.45","101.75","FI","CAD","CAD","1.00","4.41","2.69","-","2.69","2,774,779.52"
"GENESIS TRUST II","37185ZAD3","-","0.13","$2,762,488","Canada","Securitized","2.43","May 15, 2019","3.60","103.50","FI","CAD","CAD","1.00","3.59","1.48","-","1.48","2,762,487.82"
"TOYOTA CREDIT CANADA INC MTN","892329AT0","-","0.13","$2,752,699","Japan","Financial","2.05","May 20, 2020","4.55","101.51","FI","CAD","CAD","1.00","4.53","1.72","-","1.72","2,752,699.42"
"BMO CAPITAL TRUST II","055974AA7","B3KN162","0.13","$2,752,461","Canada","Financial","10.22","Dec 31, 2107","2.98","126.39","FI","CAD","CAD","1.00","12.25","8.08","-","2.13","2,752,460.68"
"FORD CREDIT CANADA LIMITED","34527ABL3","BXB0526","0.13","$2,730,306","United States","Financial","2.45","May 7, 2020","4.47","100.51","FI","CAD","CAD","1.00","4.44","2.33","-","2.33","2,730,305.82"
"MSTCCT_12-1 A","57633ZAQ0","B8N42R5","0.13","$2,679,065","Canada","Securitized","2.63","Jan 21, 2017","1.44","102.14","FI","CAD","CAD","1.00","1.43","1.15","-","1.15","2,679,064.58"
"BCIMC REALTY CORP","07329VAL4","-","0.12","$2,657,029","Canada","Real Estate","2.79","Aug 2, 2018","2.88","104.17","FI","CAD","CAD","1.00","2.87","1.36","-","1.36","2,657,029.09"
"NATIONAL BANK OF CANADA","633067XJ7","BCZXRQ2","0.12","$2,631,708","Canada","Financial","2.79","Aug 9, 2018","2.86","103.91","FI","CAD","CAD","1.00","2.85","1.47","-","1.47","2,631,707.59"
"VENTAS CANADA FINANCE LTD Prvt","92277LAA4","-","0.12","$2,619,803","United States","Real Estate","3.00","Sep 30, 2019","3.89","103.73","FI","CAD","CAD","1.00","3.86","2.05","-","2.05","2,619,802.57"
"FORD CREDIT CANADA LIMITED","34527ABF6","-","0.12","$2,617,050","United States","Financial","2.94","Feb 19, 2019","3.34","103.33","FI","CAD","CAD","1.00","3.31","1.96","-","1.96","2,617,050.33"
"SASKATCHEWAN (PROVINCE OF)","803854JY5","-","0.12","$2,607,680","Canada","Provincial","1.95","Mar 1, 2019","3.43","103.46","FI","CAD","CAD","1.00","3.42","0.96","-","0.96","2,607,680.09"
"BANK OF MONTREAL","063671RH6","B23D504","0.12","$2,601,275","Canada","Financial","5.45","Jul 17, 2017","1.87","108.09","FI","CAD","CAD","1.00","1.86","1.23","-","1.23","2,601,275.40"
"CAISSE CENTRALE DESJARDINS DU QUEB","12801ZCD8","B4P6L18","0.12","$2,601,035","Canada","Financial","3.50","Oct 5, 2017","2.08","104.55","FI","CAD","CAD","1.00","2.07","1.36","-","1.36","2,601,034.56"
"BELL CANADA MTN 144A","07813ZAU8","B067CS6","0.12","$2,584,522","Canada","Communication","5.00","Feb 15, 2017","1.46","105.33","FI","CAD","CAD","1.00","1.45","1.46","-","1.46","2,584,522.47"
"HYDRO ONE INC MTN","44810ZBA7","-","0.12","$2,558,088","Canada","Infrastructure","4.40","Jun 1, 2020","4.38","113.40","FI","CAD","CAD","1.00","4.36","1.51","-","1.51","2,558,088.25"
"TD CAP TRUST IV","87239GAA2","B3L90Q2","0.12","$2,557,142","Canada","Financial","9.52","Jun 30, 2108","3.39","126.89","FI","CAD","CAD","1.00","3.36","2.25","-","2.25","2,557,141.64"
"ENBRIDGE INC MTN","29251ZAW7","B4VRHT5","0.12","$2,556,803","Canada","Energy","4.53","Mar 9, 2020","4.13","109.30","FI","CAD","CAD","1.00","4.10","2.38","-","2.38","2,556,803.12"
"NATIONAL BANK OF CANADA","633067ZS5","BTFQY14","0.12","$2,542,198","Canada","Financial","1.95","Dec 11, 2017","2.30","101.39","FI","CAD","CAD","1.00","2.28","1.35","-","1.35","2,542,197.51"
"HOLLIS RECEIVABLES TERM TRUST II","43562ZAE2","-","0.12","$2,529,657","Canada","Securitized","1.79","Feb 26, 2020","4.35","100.39","FI","CAD","CAD","1.00","4.32","1.70","-","1.70","2,529,657.03"
"FORD CREDIT CANADA LIMITED","34527ABC3","B7Z4TJ7","0.12","$2,496,553","Canada","Financial","3.32","Dec 19, 2017","2.29","103.59","FI","CAD","CAD","1.00","2.27","1.77","-","1.77","2,496,552.57"
"MANULIFE FINANCIAL CORP MTN","56502ZAD9","B631D02","0.11","$2,448,649","Canada","Financial","7.77","Apr 8, 2019","3.23","121.49","FI","CAD","CAD","1.00","3.21","1.70","-","1.70","2,448,648.91"
"BELL TELEPHONE CO OF CANADA MTN","07813ZBJ2","-","0.11","$2,448,261","Canada","Communication","5.41","Sep 26, 2016","1.10","104.47","FI","CAD","CAD","1.00","1.09","1.42","-","1.42","2,448,260.99"
"MANITOBA (PROVINCE OF) MTN","56344ZJT7","-","0.11","$2,357,202","Canada","Provincial","4.75","Feb 11, 2020","4.06","115.57","FI","CAD","CAD","1.00","4.04","1.20","-","1.20","2,357,202.48"
"ENBRIDGE PIPELINES INC. MTN 144A","29250ZAH1","B3FMDM4","0.11","$2,353,787","Canada","Energy","6.62","Nov 19, 2018","2.99","116.26","FI","CAD","CAD","1.00","2.97","1.52","-","1.52","2,353,787.14"
"WESTJET AIRLINES LTD Prvt","960410AA6","-","0.11","$2,352,177","Canada","Industrial","3.29","Jul 23, 2019","3.73","102.14","FI","CAD","CAD","1.00","3.70","2.71","-","2.71","2,352,177.24"
"ROYAL BANK OF CANADA","780086KE3","-","0.11","$2,324,465","Canada","Financial","1.59","Mar 23, 2020","4.44","100.48","FI","CAD","CAD","1.00","4.42","1.48","-","1.48","2,324,465.37"
"SNC-LAVALIN GROUP INC","78460TAB1","B61MTG5","0.11","$2,321,275","Canada","Industrial","6.19","Jul 3, 2019","3.53","115.49","FI","CAD","CAD","1.00","3.51","2.04","-","2.04","2,321,274.79"
"MANULIFE FINANCIAL DELAWARE LP","56502FAB7","B1L3F10","0.11","$2,318,542","Canada","Financial","4.45","Dec 15, 2026","1.36","103.85","FI","CAD","CAD","1.00","1.32","1.57","-","1.57","2,318,541.63"
"BANK OF NOVA SCOTIA","064149W37","BD02L36","0.11","$2,313,745","Canada","Financial","2.75","Aug 13, 2018","2.88","103.86","FI","CAD","CAD","1.00","2.86","1.44","-","1.44","2,313,745.01"
"ROGERS COMMUNICATIONS INC.","775109AN1","B59NWD1","0.11","$2,304,071","Canada","Communication","5.38","Nov 4, 2019","3.82","113.82","FI","CAD","CAD","1.00","3.80","1.97","-","1.97","2,304,071.12"
"REGIONAL MUNICIPALITY OF YORK","98704CQD1","B408NP7","0.11","$2,303,649","Canada","Municipal","5.00","Apr 29, 2019","3.42","113.83","FI","CAD","CAD","1.00","3.41","1.20","-","1.20","2,303,649.13"
"BRIT COL MUNI FIN AUTH","626209JF8","B3FMDK2","0.11","$2,281,882","Canada","Municipal","5.10","Nov 20, 2018","3.05","113.00","FI","CAD","CAD","1.00","3.04","1.06","-","1.06","2,281,881.54"
"GE CAPITAL CANADA FUNDING CO MTN","36158ZBT2","B7KMRM5","0.11","$2,278,790","Canada","Financial","3.35","Nov 23, 2016","1.27","102.89","FI","CAD","CAD","1.00","1.27","1.09","-","1.09","2,278,790.32"
"COMINAR REAL ESTATE INVESTMENT TRU","199910AP5","-","0.11","$2,268,264","Canada","Real Estate","3.62","Jun 21, 2019","3.63","102.64","FI","CAD","CAD","1.00","3.59","2.89","-","2.89","2,268,263.78"
"FINNING INTL INC MTN","31807ZAE2","B2RJLF5","0.11","$2,265,668","Canada","Industrial","6.02","Jun 1, 2018","2.62","112.19","FI","CAD","CAD","1.00","2.60","1.58","-","1.58","2,265,667.96"
"TORONTO-DOMINION BANK (THE) MTN","89116ZAG1","B3CGCT9","0.11","$2,245,811","Canada","Financial","5.83","Jul 9, 2023","2.72","111.85","FI","CAD","CAD","1.00","2.71","1.66","-","1.66","2,245,811.20"
"UNION GAS LTD MTN","90664ZAR1","B2RBPC6","0.10","$2,242,467","Canada","Energy","5.35","Apr 27, 2018","2.54","110.64","FI","CAD","CAD","1.00","2.53","1.35","-","1.35","2,242,467.24"
"BRIT COL MUNI FIN AUTH","626209JD3","B2QZXJ2","0.10","$2,221,721","Canada","Municipal","4.60","Apr 23, 2018","2.55","109.76","FI","CAD","CAD","1.00","2.55","0.94","-","0.94","2,221,721.29"
"BMO SUB NOTES TRUST","055972AA1","B285ML5","0.10","$2,216,925","Canada","Financial","5.75","Sep 26, 2022","2.01","108.75","FI","CAD","CAD","1.00","1.99","1.56","-","1.56","2,216,925.11"
"HYDRO ONE INC MTN","44810ZAT7","B290WJ7","0.10","$2,206,859","Canada","Infrastructure","5.18","Oct 18, 2017","2.08","108.78","FI","CAD","CAD","1.00","2.07","1.12","-","1.12","2,206,858.96"
"BRITISH COLUMBIA (PROVINCE OF)","110709FR8","B27W9X8","0.10","$2,198,780","Canada","Provincial","4.70","Dec 1, 2017","2.21","109.08","FI","CAD","CAD","1.00","2.21","0.74","-","0.74","2,198,780.07"
"OMERS REALTY CORPORATION Prvt","68214WAL2","-","0.10","$2,194,946","Canada","Provincial","2.47","Nov 12, 2019","4.05","103.94","FI","CAD","CAD","1.00","4.03","1.51","-","1.51","2,194,945.82"
"SUN LIFE FINANCIAL INC MTN","86682ZAE6","-","0.10","$2,180,003","Canada","Financial","4.38","Mar 2, 2022","1.51","104.46","FI","CAD","CAD","1.00","1.50","1.49","-","1.49","2,180,003.05"
"BRIT COL MUNI FIN AUTH","626209JB7","B29R7Z9","0.10","$2,171,526","Canada","Municipal","4.80","Dec 1, 2017","2.21","109.08","FI","CAD","CAD","1.00","2.20","0.84","-","0.84","2,171,526.29"
"BROOKFIELD ASSET MANAGEMENT INC MTN","11257ZAB5","B7YQKY6","0.10","$2,162,268","Canada","Industrial","3.95","Apr 9, 2019","3.41","106.83","FI","CAD","CAD","1.00","3.39","2.01","-","2.01","2,162,267.58"
"MANITOBA PROVINCE OF","563469TS4","-","0.10","$2,147,753","Canada","Provincial","2.05","Dec 1, 2016","1.30","101.90","FI","CAD","CAD","1.00","1.30","0.60","-","0.60","2,147,752.72"
"VW CREDIT CANADA INC","918423AN4","BYQRCH3","0.10","$2,137,262","Germany","Financial","2.15","Jun 24, 2020","4.64","101.52","FI","CAD","CAD","1.00","4.61","1.82","-","1.82","2,137,261.70"
"THOMSON REUTERS CORP","884903BR5","-","0.10","$2,125,553","Canada","Communication","3.37","May 23, 2019","3.57","105.59","FI","CAD","CAD","1.00","3.55","1.84","-","1.84","2,125,553.25"
"INTER PIPELINE LTD MTN","45834ZAD1","BCGD471","0.10","$2,117,491","Canada","Energy","3.45","Jul 20, 2020","4.58","105.70","FI","CAD","CAD","1.00","4.55","2.23","-","2.23","2,117,490.55"
"SUN LIFE CAPITAL TRUST II","86680BAA9","B4MXK71","0.10","$2,112,501","Canada","Financial","5.86","Dec 31, 2108","3.95","116.77","FI","CAD","CAD","1.00","72.95","0.10","-","1.87","2,112,500.87"
"MANUFACTURERS LIFE INSURANCE COMPA","564835AG1","-","0.10","$2,081,721","Canada","Financial","2.81","Feb 21, 2024","3.35","103.86","FI","CAD","CAD","1.00","7.62","1.61","-","1.69","2,081,720.57"
"MANUFACTURERS LIFE INSURANCE COMPA","564835AH9","-","0.10","$2,072,119","Canada","Financial","2.64","Jan 15, 2025","4.21","103.45","FI","CAD","CAD","1.00","8.45","1.65","-","1.83","2,072,119.06"
"MUNICIPAL FINANCE AUTHORITY OF BRI","626209JN1","-","0.10","$2,070,783","Canada","Municipal","2.05","Jun 2, 2019","3.68","103.17","FI","CAD","CAD","1.00","3.66","1.20","-","1.20","2,070,783.09"
"DAIMLER CANADA FINANCE INC","23384NAD9","-","0.10","$2,070,546","Canada","Financial","3.28","Sep 15, 2016","1.08","102.23","FI","CAD","CAD","1.00","1.08","1.24","-","1.24","2,070,546.47"
"GLCRTR_12-2 1","37638ZAQ7","-","0.10","$2,061,030","Canada","Securitized","2.39","Apr 20, 2020","2.14","102.34","FI","CAD","CAD","1.00","2.13","1.25","-","1.25","2,061,030.29"
"VW CREDIT CANADA INC","918423AJ3","BYX24M0","0.10","$2,059,557","Germany","Financial","2.45","Nov 14, 2017","2.21","102.41","FI","CAD","CAD","1.00","2.20","1.37","-","1.37","2,059,557.24"
"BCIMC REALTY CORP Prvt","07329VAJ9","-","0.10","$2,057,933","Canada","Real Estate","2.65","Jun 29, 2017","1.85","102.62","FI","CAD","CAD","1.00","1.85","1.25","-","1.25","2,057,933.25"
"CANADIAN NATURAL RESOURCES LIMITED MTN","13638ZCQ6","-","0.10","$2,052,743","Canada","Energy","2.60","Dec 3, 2019","4.09","102.18","FI","CAD","CAD","1.00","4.06","2.07","-","2.07","2,052,743.41"
"ALBERTA (PROVINCE OF)","013051DE4","B6VM125","0.10","$2,043,201","Canada","Provincial","1.85","Sep 1, 2016","1.06","101.36","FI","CAD","CAD","1.00","1.05","0.57","-","0.57","2,043,201.18"
"FORD CREDIT CANADA LTD Prvt","34527ABE9","-","0.10","$2,040,275","United States","Financial","2.63","Nov 21, 2016","1.27","101.46","FI","CAD","CAD","1.00","1.26","1.48","-","1.48","2,040,274.78"
"NATIONAL BANK OF CANADA","633067XV0","BJZ30F1","0.10","$2,038,758","Canada","Financial","2.02","Apr 13, 2017","1.65","101.30","FI","CAD","CAD","1.00","1.65","1.23","-","1.23","2,038,757.63"
"CANADIAN IMPERIAL BANK OF COMMERCE MTN","136069CV1","B39VLK1","0.10","$2,033,638","Canada","Financial","6.00","Jun 6, 2023","2.63","111.98","FI","CAD","CAD","1.00","6.50","2.61","-","1.65","2,033,637.73"
"TRANSCANADA PIPELINES LIMITED MTN","89353ZBP2","B05JVY2","0.09","$2,007,326","Canada","Energy","5.10","Jan 11, 2017","1.39","105.29","FI","CAD","CAD","1.00","1.38","1.35","-","1.35","2,007,325.73"
"CITY OF TORONTO","891288CY6","B23CKF1","0.09","$2,005,201","Canada","Municipal","5.05","Jul 18, 2017","1.87","108.13","FI","CAD","CAD","1.00","1.87","0.84","-","0.84","2,005,201.18"
"MANUFACTURERS LIFE INSURANCE COMPA","564835AC0","B5WL7Z9","0.09","$1,984,616","Canada","Financial","4.21","Nov 18, 2021","1.25","103.54","FI","CAD","CAD","1.00","5.54","2.95","-","1.42","1,984,616.01"
"CANADIAN NATURAL RESOURCES LIMITED MTN","13638ZCD5","B89XZM2","0.09","$1,984,545","Canada","Energy","3.05","Jun 19, 2019","3.66","104.05","FI","CAD","CAD","1.00","3.63","1.96","-","1.96","1,984,545.27"
"PSP CAPITAL INC Prvt","69363TAE2","B715Y22","0.09","$1,976,962","Canada","Federal","2.26","Feb 16, 2017","1.50","102.28","FI","CAD","CAD","1.00","1.49","0.76","-","0.76","1,976,961.78"
"GREATER TORONTO AIRPORTS AUTHORITY MTN 144A","39191ZAT6","B2RBN33","0.09","$1,969,574","Canada","Infrastructure","5.26","Apr 17, 2018","2.52","110.95","FI","CAD","CAD","1.00","2.51","1.12","-","1.12","1,969,574.15"
"CATERPILLAR FINANCIAL SERVICES LIM","14911ZAN1","B8FG633","0.09","$1,956,677","Canada","Financial","2.63","Jun 1, 2017","1.78","102.51","FI","CAD","CAD","1.00","1.77","1.23","-","1.23","1,956,677.32"
"GE CAPITAL CANADA FUNDING COMPANY MTN","36158ZAY2","B1HLBR6","0.09","$1,956,301","United States","Financial","4.55","Jan 17, 2017","1.41","104.93","FI","CAD","CAD","1.00","1.41","1.10","-","1.10","1,956,300.68"
"AMERICAN EXPRESS CANADA CREDIT COR MTN","02580ZAM8","B944M15","0.09","$1,880,282","United States","Financial","2.31","Mar 29, 2018","2.56","102.21","FI","CAD","CAD","1.00","2.55","1.45","-","1.45","1,880,281.82"
"STANDARD LIFE ASSURANCE CO OF CANA Prvt","853585AA5","B83FBP9","0.09","$1,861,424","Canada","Financial","3.94","Sep 21, 2022","2.03","104.89","FI","CAD","CAD","1.00","6.13","3.16","-","1.59","1,861,424.13"
"WESTCOAST ENERGY INC","95751DAE2","2076548","0.09","$1,843,595","Canada","Energy","8.50","Sep 4, 2018","2.72","119.30","FI","CAD","CAD","1.00","2.70","2.00","-","2.00","1,843,594.86"
"BELL CANADA MTN","07813ZBE3","-","0.09","$1,817,323","Canada","Communication","3.50","Sep 10, 2018","2.92","105.47","FI","CAD","CAD","1.00","2.90","1.67","-","1.67","1,817,322.94"
"GREATER TORONTO AIRPORTS AUTHORITY MTN 144A","39191ZAV1","B4YQ2C7","0.08","$1,810,803","Canada","Infrastructure","5.96","Nov 20, 2019","3.84","119.45","FI","CAD","CAD","1.00","3.83","1.28","-","1.28","1,810,802.77"
"407 INTERNATIONAL INC MTN","35085ZBB1","-","0.08","$1,753,463","Canada","Infrastructure","4.99","Jun 16, 2020","4.38","116.20","FI","CAD","CAD","1.00","4.36","1.52","-","1.52","1,753,462.59"
"FIRST CAPITAL REALTY INC.","31943BBF6","-","0.08","$1,746,677","Canada","Real Estate","5.60","Apr 30, 2020","4.19","114.94","FI","CAD","CAD","1.00","4.16","2.25","-","2.25","1,746,676.85"
"HONDA CANADA FINANCE INC Prvt","438121AA3","B7N29X7","0.08","$1,742,880","Canada","Financial","2.27","Dec 11, 2017","2.29","102.17","FI","CAD","CAD","1.00","2.28","1.33","-","1.33","1,742,880.12"
"NBC ASSET TRUST","62874WAA0","B2NWS02","0.08","$1,735,646","Canada","Financial","7.24","Dec 31, 2049","2.67","114.98","FI","CAD","CAD","1.00","16.81","4.12","-","1.90","1,735,645.84"
"CAMECO CORPORATION","13321LAG3","B40HLF0","0.08","$1,732,342","Canada","Industrial","5.67","Sep 2, 2019","3.64","113.05","FI","CAD","CAD","1.00","3.60","2.29","-","2.29","1,732,341.82"
"TOYOTA CREDIT CANADA INC MTN","892329AN3","BGP6L78","0.08","$1,731,454","Japan","Financial","2.80","Nov 21, 2018","3.15","104.35","FI","CAD","CAD","1.00","3.13","1.44","-","1.44","1,731,454.28"
"TORONTO-DOMINION BANK/THE","891145N34","-","0.08","$1,729,036","Canada","Financial","1.82","Apr 3, 2017","1.63","101.08","FI","CAD","CAD","1.00","1.62","1.16","-","1.16","1,729,036.04"
